ACTIVIDADES FÍSICAS Y DEPORTIVAS	LOGSE	AFD201	Conducción de Actividades Físico-Deportivas en el Medio Natural
ADMINISTRACIÓN Y GESTIÓN	LOE	ADG201	Gestión Administrativa
AGRARIA	LOE	AGA201	Producción Agropecuaria
AGRARIA	LOE	AGA204	Jardinería y floristería
AGRARIA	LOE	AGA205	Aprovechamiento y Conservación del Medio Natural
ARTES GRÁFICAS	LOGSE	ARG202	Impresión en Artes Gráficas
ARTES GRÁFICAS	LOE	ARG203	Preimpresión digital
COMERCIO Y MARKETING	LOGSE	COM201	Comercio
EDIFICACIÓN Y OBRA CIVIL	LOE	EOC201	Obras de interior, decoración y rehabilitación
EDIFICACIÓN Y OBRA CIVIL	LOE	EOC203	Construcción
EDIFICACIÓN Y OBRA CIVIL	LOGSE	EOC204	Operación y Mantenimiento de Maquinaria de Construcción
ELECTRICIDAD Y ELECTRÓNICA	LOGSE	ELE201	Equipos Electrónicos de consumo
ELECTRICIDAD Y ELECTRÓNICA	LOE	ELE202	Instalaciones Eléctricas y Automáticas
ELECTRICIDAD Y ELECTRÓNICA	LOE	ELE203	Instalaciones de Telecomunicaciones
FABRICACIÓN MECÁNICA	LOE	FME202	Mecanizado
FABRICACIÓN MECÁNICA	LOE	FME203	Soldadura y Calderería
HOSTELERÍA Y TURISMO	LOE	HOT201	Cocina y Gastronomía
HOSTELERÍA Y TURISMO	LOE	HOT203	Servicios en restauración
IMAGEN PERSONAL	LOGSE	IMP202	Estética Personal Decorativa
IMAGEN PERSONAL	LOE	IMP203	Peluquería y cosmética capilar
IMAGEN Y SONIDO	LOGSE	CIS201	Laboratorio de imagen
INDUSTRIAS ALIMENTARIAS	LOE	INA201	Elaboración de Productos Alimenticios
INDUSTRIAS ALIMENTARIAS	LOE	INA204	Aceites de oliva y vino
INDUSTRIAS ALIMENTARIAS	LOE	INA207	Panadería, repostería y confitería
INFORMÁTICA Y COMUNICACIONES	LOE	IFC201	Sistemas Microinformáticos y Redes
INSTALACIÓN Y MANTENIMIENTO	LOE	IMA201	Mantenimiento Electromecánico
INSTALACIÓN Y MANTENIMIENTO	LOE	IMA202	Instalaciones Frigoríficas y de Climatización
INSTALACIÓN Y MANTENIMIENTO	LOE	IMA203	Instalaciones de Producción de Calor
MADERA, MUEBLE Y CORCHO	LOE	MAM201	Instalación y amueblamiento
QUÍMICA	LOGSE	QUI201	Laboratorio
QUÍMICA	LOE	QUI204	Planta Química
SANIDAD	LOGSE	SAN201	Cuidados Auxiliares de Enfermería
SANIDAD	LOE	SAN202	Farmacia y Parafarmacia
SANIDAD	LOE	SAN203	Emergencias Sanitarias
SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD	LOE	SSC201	Atención a personas en situación de dependencia
TEXTIL, CONFECCIÓN Y PIEL	LOE	TCP202	Confección y Moda
TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS	LOE	TMV201	Carrocería
TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS	LOE	TMV202	Electromecánica de Vehículos Automóviles
ACTIVIDADES FÍSICAS Y DEPORTIVAS	LOGSE	AFD301	Animación de actividades físicas y deportivas
ADMINISTRACIÓN Y GESTIÓN	LOE	ADG301	Administración y finanzas
ADMINISTRACIÓN Y GESTIÓN	LOGSE	ADM302	Secretariado
AGRARIA	LOGSE	ACA301	Gestión y Organización de Empresas Agropecuarias
AGRARIA	LOE	AGA302	Gestión forestal y del medio natural
ARTES GRÁFICAS	LOGSE	ARG301	Diseño y producción editorial
COMERCIO Y MARKETING	LOE	COM301	Comercio Internacional
COMERCIO Y MARKETING	LOGSE	COM302	Gestión comercial y marketing
COMERCIO Y MARKETING	LOE	COM303	Transporte y logística
EDIFICACIÓN Y OBRA CIVIL	LOE	EOC301	Proyectos de Edificación
EDIFICACIÓN Y OBRA CIVIL	LOE	EOC302	Proyectos de Obra civil
